Name;Year of establishment;Ownership;Category
Ansar-Ud-Deen College of Education, Isolo;1953.0;Private;College of Education
Yewa Central College of Education, Ayetoro, Abeokuta;2004.0;Private;College of Education
Federal College of Education (T), Umunze;1989.0;Federal Government;College of Education
College of Education, Arochukwu, Abia;1993.0;State Government;College of Education
College of Education, Ila-Orangun, Osun State;1979.0;State Government;College of Education
Michael Otedola Coll. of Prim. Education, Lagos;1994.0;State Government;College of Education
Kashim Ibrahim College of Education;1977.0;State Government;College of Education
Delta State Coll. of Physical Education, Mosogar;2002.0;State Government;College of Education
Enugu State Coll. of Education (T), Enugu;2006.0;State Government;College of Education
Cross River State Coll. of Education, Akampa;2008.0;State Government;College of Education
Edo State College of Education, Igueben;1980.0;State Government;College of Education
Isaac Jasper Boro COE, Sagbama;2000.0;State Government;College of Education
Kogi State College of Education, Kabba;2010.0;State Government;College of Education
Osisa Tech. College of Education, Enugu;1989.0;Private;College of Education
St. Augustine College of Education Akoka, Lagos;1971.0;Private;College of Education
African Thinkers Community of Inquiry COE, Enugu;1990.0;Private;College of Education
Muftau Olanihun College of Education, Ibadan;2003.0;Private;College of Education
Havard Wilson College of Education, Aba;2001.0;Private;College of Education
Muhyideen College of Education, Ilorin;2007.0;Private;College of Education
Corner Stone College of Education, Ikeja;;Private;College of Education
Peaceland College of Education, Enugu;2014.0;Private;College of Education
The College of Education, Nsukka;2014.0;Private;College of Education
Unity College of Education, Aukpa Adoka, Benue;2015.0;Private;College of Education
Jornato College of Education;2019.0;Private;College of Education
DIAMOND COLLEGE OF EDUCATION, ABA;2016.0;Private;College of Education
National Teachers Institute(NTI);;Federal Government;College of Education
Kingsey College of Education, Ilorin, Kwara State;2010.0;Private;College of Education
ECWA College of Education, Jos (ECOEJ);2015.0;Private;College of Education
FESTMED COLLEGE OF EDUCATION, ONDO STATE;2019.0;Private;College of Education
St. Frances Asissi College of Education, Zaria;;Private;College of Education
BETHEL COE IJARE, ONDO;;Private;College of Education
Omaga aejigbo College of education Ajiolo-Ojiaji;;Private;College of Education
STEADY FLOW COE, IKOM;;Private;College of Education
His Grace College of Education, Ilorin;;Private;College of Education
Royal College of Education, Ogun State;;Private;College of Education
AL HIKMA COLLEGE OF EDUCATION, ANKPA;;Private;College of Education
Global COE, Bukuru;;Private;College of Education
Kwararafa COE, Otukpo;;Private;College of Education
Zaria Institute of Information Technology;;Private;College of Education
College of Education, Billiri;2012.0;State Government;College of Education
Lessel COE Gboko;;Private;College of Education
Bayo Tijani COE, Lagos;;Private;College of Education
Upland COE Badagry;;Private;College of Education
College of Education, Zing;1977.0;State Government;College of Education
ECWA COE Igbaja;;Private;College of Education
PAN African COE Offa;;Private;College of Education
Corona COE Lekki;;Private;College of Education
College of Education Oju;;State Government;College of Education
EEICOE Otukpo;;Private;College of Education
Sinai COE & Ent. Studies Gboko, Benue;;Private;College of Education
St. Paul's College of Education NNewi;2005.0;Private;College of Education
Mus'ab Bn Umair College of Education Bajoga;;Private;College of Education
MCF COE Agbarha-Otor, Delta;;Private;College of Education
Assanusiya COE, Odeomu, Osun;;Private;College of Education
COE, Ero, Akure;;Private;College of Education
Calvin Foundation COE;1997.0;Private;College of Education
Best Legacy COE Ogbomoso;2007.0;Private;College of Education
Angel Crown COE;;Private;College of Education
Elder Oyama Memorial COE, Ofat;;Private;College of Education
COE, Moro, Ife-North;2008.0;Private;College of Education
Royal City COE, Iyesi-Ota;;Private;College of Education
ONIT COE, Abagana;;Private;College of Education
Nana Aishat Memorial COE;2009.0;Private;College of Education
Top-Most COE, Ipaja-Agbado;;Private;College of Education
Apa COE, Aido;;Private;College of Education
Awori District COE;;Private;College of Education
Hill COE, Gwanje, Akwanga;2004.0;Private;College of Education
Aminu Kano College of Education;;Private;College of Education
Murtadha COE, Olodo;;Private;College of Education
Islamic COE, Potiskum;;Private;College of Education
Royal COE, Ikeja, Lagos State;;Private;College of Education
Hassan Usman Katsina Polytechnic;;State Government;Polytechnics offering NCE Programmes
Plateau State Polytechnic;;State Government;Polytechnics offering NCE Programmes
Kano State Polytechnic;;State Government;Polytechnics offering NCE Programmes
Waziri Umaru Federal Polytechnic;;Federal Government;Polytechnics offering NCE Programmes
Ramat Polytechnic;;State Government;Polytechnics offering NCE Programmes
Kaduna Polytechnics;;Federal Government;Polytechnics offering NCE Programmes
Abubakar Tatari Polytechnic;;State Government;Polytechnics offering NCE Programmes
Nuhu Bamalli Polytechnic;;State Government;Polytechnics offering NCE Programmes
Ipere COE, Agyaragu;;Private;College of Education
Piaget College of Education;2015.0;Private;College of Education
Biga College of Education;;Private;College of Education
Al-Ibadan COE;;Private;College of Education
College of Education Kura;;Private;College of Education
Al-fajr College of Education, Kano;;Private;College of Education
Sunnah College of Education;2012.0;Private;College of Education
Oswald Waller COE Shendam;;Private;College of Education
Imam Saidu COE, Funtua;;Private;College of Education
Bilyaminu Othman COE Dass;;Private;College of Education
The Polytechnic Iree, Osun State;;State Government;Polytechnics offering NCE Programmes
Bogoro College of Education;;Private;College of Education
Ife College of Education Omala;;Private;College of Education
Elibest College of Education;;Private;College of Education
Adesina College of Education, Share, Kwara State;;Private;College of Education
Covenant College of Education (CCOE);;Private;College of Education
JIGAWA STATE COLLEGE OF EDUCATION AND LEGAL STUDIES, RINGIM;1992.0;State Government;College of Education
CRESTFIELD COLLEGE OF EDUCATION;;Private;College of Education
GRACE COLLEGE OF EDUCATION;;Private;College of Education
AFRICAN CHURCH COLLEGE OF EDUCATION;2008.0;Private;College of Education
Kano State College of Education and Remedial Studies, Kano;;State Government;College of Education
College of Education, Lanlate, Oyo State;1982.0;State Government;College of Education
Climax College of Education, Bauchi;;Private;College of Education
TCNN College of  Education, Bukuru;;Private;College of Education
JIBWIS College of Education Jos;;Private;College of Education
College of Education and Legal Studies;;State Government;College of Education
Federal College of Education Sokoto;2019.0;Federal Government;College of Education
Federal College of Education Bauchi;1987.0;Federal Government;College of Education
Federal College of Education (T), ISU Ebonyi State;2022.0;Federal Government;College of Education
Federal College of Education, Odugbo, Benue State;2019.0;Federal Government;College of Education
Federal College of Education Osun;;Federal Government;College of Education
Federal College of Education Edo;2020.0;Federal Government;College of Education
Kashim Ibrahim College of Education;1977.0;State Government;College of Education
College of Education Oro;1976.0;State Government;College of Education
Imo State College of Education, Ihitte/Uboma;2010.0;State Government;College of Education
Annur College of Education Kano;2003.0;Private;College of Education
College of Education Ilemona;2006.0;Private;College of Education
Ebenezer College of Education Amangwu;;Private;College of Education
JIBWIS College of Education Gombe;;Private;College of Education
Kogi East College of Education;;Private;College of Education
Gboko College of Education Benue State;2003.0;Private;College of Education
Hope and Anchor College of Education;2015.0;Private;College of Education
Elizabeth Memorial College of Education Nsukka;;Private;College of Education
Ilori College of Education , Ede;2016.0;Private;College of Education
Sarkin Yama Community College of Education;;Private;College of Education
Umar Bun Khatab College of Education, Tudun Nupawa, Kaduna;;Private;College of Education
Peacock College of Education Jalingo;2021.0;Private;College of Education
Peace College Of Education Ankpa;;Private;College of Education
Moje College of Education,  Erin-Ile;2017.0;Private;College of Education
Uli College of Education, Uli;;Private;College of Education
Lifegate College of Education,  Asa;;Private;College of Education
JIBWIS COE, Jama�are;;Private;College of Education
Dala College of Education, Kano;;Private;College of Education
Hamzainab College of Education, Oshogbo;;Private;College of Education
College of Education, Darazo;;Private;College of Education
Abubakar Garba Zagada- Zagada College of Education,  Bajoga;;Private;College of Education
Imam Hamzat COE, Ilorin;;Private;College of Education
Metro COE, Adogi-Lafia;;Private;College of Education
College of Sharia and Arabic  Studies;;Private;College of Education
Abdullahi Maikano College of  Education, Wase;;Private;College of Education
Nosakhare COE, Benin City;;Private;College of Education
Good Shepperd COE;;Private;College of Education
Turath COE, Kano;;Private;College of Education
Meadow Hall COE;2001.0;Private;College of Education
Raphat COE;2020.0;Private;College of Education
Kazaure College of Education;;Private;College of Education
JIBWIS College of Education;;Private;College of Education
Adamu Garkuwa COE, Toro;;Private;College of Education
Folrac Fortified COE, Ondo;;Private;College of Education
Al-Iman College of  Education;;Private;College of Education
Danyaya College of Education, Ningi;;Private;College of Education
Innovative College of Education, Karu;2020.0;Private;College of Education
Sam Ale College of Education;;Private;College of Education
Gombe State COE, NAFADA;2013.0;State Government;College of Education
Gand-Plus College of  Education;;Private;College of Education
Olekamba College of  Education;;Private;College of Education
Emamo College of Education;;Private;College of Education
Aminu Kano College of Islamic and Legal Studies;1981.0;State Government;Other NCE-Awarding Institutions
Muhammad Goni College of Legal and Islamic Studies (MOGOLIS);1981.0;State Government;Other NCE-Awarding Institutions
A.D. Rufai College for Islamic and  Legal Studies;;State Government;Other NCE-Awarding Institutions
Yusuf Bala Usman College of Legal and General Studies, Daura;;State Government;Other NCE-Awarding Institutions
Bauchi Institute for Arabic and  Islamic Studies;2003.0;Private;Other NCE-Awarding Institutions
Institute of Ecumenical Education  (Thinkers Corner);1980.0;Private;Other NCE-Awarding Institutions
Ameer Shehu Idris College of Advanced Studies, Zaria;2008.0;Private;Other NCE-Awarding Institutions
Abubakar Tafawa Balewa University, Bauchi;1988.0;Federal Government;University
Ahmadu Bello University, Zaria;1962.0;Federal Government;University
Bayero University, Kano;1975.0;Federal Government;University
Federal University Gashua, Yobe;2013.0;Federal Government;University
Federal University of Petroleum Resources, Effurun;2007.0;Federal Government;University
Federal University of Technology, Akure;1981.0;Federal Government;University
Federal University of Technology, Minna;1982.0;Federal Government;University
Federal University of Technology, Owerri;1980.0;Federal Government;University
Federal University, Dutse, Jigawa State;2011.0;Federal Government;University
Federal University, Dutsin-Ma, Katsina;2011.0;Federal Government;University
Federal University, Kashere, Gombe State;2011.0;Federal Government;University
Federal University, Lafia, Nasarawa State;2011.0;Federal Government;University
Federal University, Lokoja, Kogi State;2011.0;Federal Government;University
Alex Ekwueme University, Ndufu-Alike, Ebonyi State;2011.0;Federal Government;University
Federal University, Otuoke, Bayelsa;2011.0;Federal Government;University
Federal University, Oye-Ekiti, Ekiti State;2011.0;Federal Government;University
Federal University, Wukari, Taraba State;2011.0;Federal Government;University
Federal University, Birnin Kebbi;2013.0;Federal Government;University
Federal University, Gusau Zamfara;2013.0;Federal Government;University
Michael Okpara University of Agricultural Umudike;1992.0;Federal Government;University
Modibbo Adama University of Technology, Yola;1981.0;Federal Government;University
National Open University of Nigeria, Lagos;2002.0;Federal Government;University
Nigeria Police Academy Wudil;2013.0;Federal Government;University
Nigerian Defence Academy Kaduna;1985.0;Federal Government;University
Nnamdi Azikiwe University, Awka;1992.0;Federal Government;University
Obafemi Awolowo University,Ile-Ife;1962.0;Federal Government;University
University of Abuja, Gwagwalada;1988.0;Federal Government;University
Federal University of Agriculture, Abeokuta;1988.0;Federal Government;University
Joseph Sarwuan Tarka University, Makurdi;1988.0;Federal Government;University
University of Benin;1970.0;Federal Government;University
University of Calabar;1975.0;Federal Government;University
University of Ibadan;1948.0;Federal Government;University
University of Ilorin;1975.0;Federal Government;University
University of Jos;1975.0;Federal Government;University
University of Lagos;1962.0;Federal Government;University
University of Maiduguri;1975.0;Federal Government;University
University of Nigeria, Nsukka;1960.0;Federal Government;University
University of Port-Harcourt;1975.0;Federal Government;University
University of Uyo;1991.0;Federal Government;University
Usumanu Danfodiyo University;1975.0;Federal Government;University
Nigerian Maritime University Okerenkoko, Delta State;2018.0;Federal Government;University
Air Force Institute of Technology, Kaduna;2018.0;Federal Government;University
Nigerian Army University Biu;2018.0;Federal Government;University
Federal University of Health Technology, Otukpo Benue State;2020.0;Federal Government;University
Federal University of Agriculture, Zuru, Kebbi State;2020.0;Federal Government;University
Federal University of Technology, Babura, Jigawa State ;2021.0;Federal Government;University
Federal University of Technology, Ikot Abasi, Akwa Ibom State ;2021.0;Federal Government;University
Federal University of Health Sciences, Azare, Bauchi State ;2021.0;Federal Government;University
Federal University of Health Sciences, Ila Orangun, Osun State ;2021.0;Federal Government;University
David Nweze Umahi Federal University of Medical Sciences, Uburu;2022.0;Federal Government;University
Abia State University, Uturu;1981.0;State Government;University
Adamawa State University Mubi;2002.0;State Government;University
Adekunle Ajasin University, Akungba;1999.0;State Government;University
Akwa Ibom State University, Ikot Akpaden;2010.0;State Government;University
Ambrose Alli University, Ekpoma;1980.0;State Government;University
Chukwuemeka Odumegwu Ojukwu University, Uli;2000.0;State Government;University
Bauchi State University, Gadau;2011.0;State Government;University
Benue State University, Makurdi;1992.0;State Government;University
Yobe State University, Damaturu;2006.0;State Government;University
Cross River State University of  Technology, Calabar;2004.0;State Government;University
Delta State University Abraka;1992.0;State Government;University
Ebonyi State University, Abakaliki;2000.0;State Government;University
Ekiti State University;1982.0;State Government;University
Enugu State University of Science and Technology, Enugu;1982.0;State Government;University
Gombe State Univeristy, Gombe;2004.0;State Government;University
Ibrahim Badamasi Babangida University, Lapai;2005.0;State Government;University
Ignatius Ajuru University of Education,Rumuolumeni;2010.0;State Government;University
Imo State University, Owerri;1992.0;State Government;University
Sule Lamido University, Kafin Hausa, Jigawa;2013.0;State Government;University
Kaduna State University, Kaduna;2004.0;State Government;University
Kano University of Science & Technology, Wudil;2000.0;State Government;University
Kebbi State University of Science and Technology, Aliero;2006.0;State Government;University
Prince Abubakar Audu University Anyigba;1999.0;State Government;University
Kwara State University, Ilorin;2009.0;State Government;University
Ladoke Akintola University of Technology, Ogbomoso;1990.0;State Government;University
Ondo State University of Science and Technology Okitipupa;2008.0;State Government;University
Rivers State University ;1979.0;State Government;University
Olabisi Onabanjo University, Ago Iwoye;1982.0;State Government;University
Lagos State University, Ojo;1983.0;State Government;University
Niger Delta University Yenagoa;2000.0;State Government;University
Nasarawa State University Keffi;2002.0;State Government;University
Plateau State University Bokkos;2005.0;State Government;University
Tai Solarin University of Education Ijebu Ode;2005.0;State Government;University
Umar Musa Yar' Adua University Katsina;2006.0;State Government;University
Osun State University Osogbo;2006.0;State Government;University
Taraba State University, Jalingo;2008.0;State Government;University
Sokoto State University;2009.0;State Government;University
Yusuf Maitama Sule University Kano;2012.0;State Government;University
First Technical University Ibadan;2012.0;State Government;University
Ondo State University of Medical Sciences;2015.0;State Government;University
Edo State University Uzairue;2016.0;State Government;University
Kingsley Ozumba Mbadiwe University Ogboko, Imo State;2016.0;State Government;University
University of Africa Toru Orua, Bayelsa State;2016.0;State Government;University
Bornu State University, Maiduguri;2016.0;State Government;University
Moshood Abiola University of Science and Technology Abeokuta;2017.0;State Government;University
Gombe State University of Science and Technology;2017.0;State Government;University
Zamfara State University;2018.0;State Government;University
Bayelsa Medical University;2019.0;State Government;University
University of Agriculture and Environmental Sciences Umuagwo, Imo State;2019.0;State Government;University
Confluence University of Science and Technology Osara, Kogi;2020.0;State Government;University
University of Delta, Agbor;2021.0;State Government;University
Delta University of Science and Technology, Ozoro;2021.0;State Government;University
Dennis Osadebe University, Asaba;2021.0;State Government;University
Bamidele Olumilua University of Science and Technology Ikere, Ekiti State;2020.0;State Government;University
Lagos State University of Education, Ijanikin;2022.0;State Government;University
Lagos State University of Science and Technology Ikorodu;1970.0;State Government;University
Shehu Shagari University of Education, Sokoto;2022.0;State Government;University
Enugu State University of Medical and Applied Sciences, Igbo-Eno;2022.0;State Government;University
University of Ilesa, Osun State;2022.0;State Government;University
Achievers University, Owo;2007.0;Private;University
Adeleke University, Ede;2011.0;Private;University
Afe Babalola University, Ado-Ekiti - Ekiti State;2009.0;Private;University
African University of Science & Technology, Abuja;2007.0;Private;University
Ajayi Crowther University, Ibadan;2005.0;Private;University
Al-Hikmah University, Ilorin;2005.0;Private;University
Al-Qalam University, Katsina;2005.0;Private;University
American University of Nigeria, Yola;2003.0;Private;University
Augustine University;2015.0;Private;University
Babcock University,Ilishan-Remo;1999.0;Private;University
Baze University;2011.0;Private;University
Bells University of Technology, Otta;2005.0;Private;University
Benson Idahosa University, Benin City;2002.0;Private;University
Bingham University, New Karu;2005.0;Private;University
Bowen University, Iwo;2001.0;Private;University
Caleb University, Lagos;2007.0;Private;University
Caritas University, Enugu;2005.0;Private;University
Chrisland University;2015.0;Private;University
Covenant University Ota;2002.0;Private;University
Crawford University Igbesa;2005.0;Private;University
Crescent University;2005.0;Private;University
Edwin Clark University, Kaigbodo;2015.0;Private;University
Elizade University, Ilara-Mokin;2012.0;Private;University
Evangel University, Akaeze;2012.0;Private;University
Fountain Unveristy, Oshogbo;2007.0;Private;University
Godfrey Okoye University, Ugwuomu-Nike - Enugu State;2009.0;Private;University
Gregory University, Uturu;2012.0;Private;University
Hallmark University, Ijebi Itele, Ogun;2015.0;Private;University
Hezekiah University, Umudi;2015.0;Private;University
Igbinedion University Okada;1999.0;Private;University
Joseph Ayo Babalola University, Ikeji-Arakeji;2006.0;Private;University
Kings University, Ode Omu;2015.0;Private;University
Kwararafa University, Wukari;2005.0;Private;University
Landmark University, Omu-Aran.;2011.0;Private;University
Lead City University, Ibadan;2005.0;Private;University
Madonna University, Okija;1999.0;Private;University
Mcpherson University, Seriki Sotayo, Ajebo;2012.0;Private;University
Micheal & Cecilia Ibru University;2015.0;Private;University
Mountain Top University;2015.0;Private;University
Nile University of Nigeria, Abuja;2009.0;Private;University
Novena University, Ogume;2005.0;Private;University
Obong University, Obong Ntak;2007.0;Private;University
Oduduwa University, Ipetumodu - Osun State;2009.0;Private;University
Pan-Atlantic University, Lagos;2002.0;Private;University
Paul University, Awka - Anambra State;2009.0;Private;University
Redeemer's University, Ede;2005.0;Private;University
Renaissance University, Enugu;2005.0;Private;University
Rhema University, Obeama-Asa - Rivers State;2009.0;Private;University
Ritman University, Ikot Ekpene, Akwa Ibom;2015.0;Private;University
Salem University, Lokoja;2007.0;Private;University
Samuel Adegboyega University, Ogwa.;2011.0;Private;University
Southwestern University, Oku Owa;2012.0;Private;University
Summit University, Offa;2015.0;Private;University
Tansian University, Umunya;2007.0;Private;University
University of Mkar, Mkar;2005.0;Private;University
Veritas University, Abuja;2007.0;Private;University
Wellspring University, Evbuobanosa - Edo State;2009.0;Private;University
Wesley University Ondo;2007.0;Private;University
Western Delta University, Oghara Delta State;2007.0;Private;University
Christopher University Mowe                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;2015.0;Private;University
Kola Daisi University Ibadan, Oyo State;2016.0;Private;University
Anchor University Ayobo Lagos State;2016.0;Private;University
Dominican University Ibadan Oyo State;2016.0;Private;University
Legacy University, Okija Anambra State;2016.0;Private;University
Arthur Javis University Akpoyubo Cross river State;2016.0;Private;University
Crown Hill University Eiyenkorin, Kwara State;2016.0;Private;University
Coal City University Enugu State;2016.0;Private;University
Clifford University Owerrinta Abia State;2016.0;Private;University
Admiralty University of Nigeria, Ibusa Delta State;2017.0;Private;University
Spiritan University, Nneochi Abia State;2017.0;Private;University
Precious Cornerstone University, Oyo;2017.0;Private;University
PAMO University of Medical Sciences, Portharcourt;2017.0;Private;University
Atiba University Oyo;2017.0;Private;University
Eko University of Medical and Health Sciences Ijanikin, Lagos;2017.0;Private;University
Skyline University, Kano;2018.0;Private;University
Greenfield University, Kaduna;2019.0;Private;University
Dominion University Ibadan, Oyo State;2019.0;Private;University
Trinity University Ogun State;2019.0;Private;University
Westland University Iwo, Osun State;2019.0;Private;University
Topfaith University, Mkpatak, Akwa Ibom State;2021.0;Private;University
Thomas Adewumi University, Oko-Irese, Kwara State;2021.0;Private;University
Maranathan University, Mgbidi, Imo State;2021.0;Private;University
Ave Maria University, Piyanko, Nasarawa State;2021.0;Private;University
Al-Istiqama University, Sumaila, Kano State;2021.0;Private;University
Mudiame University, Irrua, Edo State;2021.0;Private;University
Havilla University, Nde-Ikom, Cross River State;2021.0;Private;University
Claretian University of Nigeria, Nekede, Imo State;2021.0;Private;University
NOK University, Kachia, Kaduna State;2021.0;Private;University
Karl-Kumm University, Vom, Plateau State;2021.0;Private;University
James Hope University, Lagos, Lagos State;2021.0;Private;University
Maryam Abacha American University of Nigeria, Kano State;2021.0;Private;University
Capital City University, Kano State;2021.0;Private;University
Ahman Pategi University, Kwara State;2021.0;Private;University
University of Offa, Kwara State;2021.0;Private;University
Mewar International University, Masaka, Nasarawa State;2021.0;Private;University
Edusoko University, Bida, Niger State;2021.0;Private;University
Philomath University, Kuje, Abuja;2021.0;Private;University
Khadija University, Majia, Jigawa State;2021.0;Private;University
Anan University, Kwall, Plateau State;2021.0;Private;University
PEN Resource University, Gombe;2022.0;Private;University
Al-Ansar University, Maiduguri, Borno;2022.0;Private;University
Margaret Lawrence University, Umunede, Delta State;2022.0;Private;University
Khalifa Isiyaku Rabiu University, Kano;2022.0;Private;University
Sports University, Idumuje, Ugboko, Delta State;2022.0;Private;University
Baba Ahmed University, Kano State;2022.0;Private;University
Saisa University of Medical Sciences and Technology, Sokoto State;2022.0;Private;University
Nigerian British University, Asa, Abia State;2022.0;Private;University
Peter University, Achina-Onneh Anambra State;2022.0;Private;University
Newgate University, MInna, Niger State.;2022.0;Private;University
European University of Nigeria, Duboyi, FCT;2022.0;Private;University
NorthWest University Sokoto State;2022.0;Private;University
Akanu Ibiam Federal Polytechnic Unwana, P.M.B 1007, Afikpo, Ebonyi State.;1981.0;Federal Government;Polytechnic
Auchi Polytechnic, Auchi, Edo State.;1973.0;Federal Government;Polytechnic
Federal Polytechnic Ado Ekiti, Ekiti State.;1977.0;Federal Government;Polytechnic
Federal Polytechnic Bali, Taraba State.;2007.0;Federal Government;Polytechnic
Federal Polytechnic Bauchi, P.M. B 231, Bauchi State.;1979.0;Federal Government;Polytechnic
Federal Polytechnic Bida, P.M.B 55, Niger State.;1977.0;Federal Government;Polytechnic
Federal Polytechnic Damaturu, P.M.B 1006, Yobe State.;1993.0;Federal Government;Polytechnic
Federal Polytechnic, Daura, Katsina State;2019.0;Federal Government;Polytechnic
Federal Polytechnic Ede, Osun State.;1992.0;Federal Government;Polytechnic
Federal Polytechnic Ekowe, Bayelsa State;2007.0;Federal Government;Polytechnic
Federal Polytechnic Idah P.M.B 1035, Kogi State.;1977.0;Federal Government;Polytechnic
Federal Polytechnic Ilaro, P.M.B 50, Ogun State.;1979.0;Federal Government;Polytechnic
Federal Polytechnic Ile-Oluji, Ondo State;2016.0;Federal Government;Polytechnic
Federal Polytechnic Kaura Namoda, P.M.B, 1012, Zamfara State.;1983.0;Federal Government;Polytechnic
Federal Polytechnic Kaltungo, Gombe State;2019.0;Federal Government;Polytechnic
Federal Polytechnic Mubi, PMB 35 Mubi, Adamawa State.;1979.0;Federal Government;Polytechnic
Federal Polytechnic Nasarawa, P.M.B. 01 Nasarawa State.;1983.0;Federal Government;Polytechnic
Federal Polytechnic Nekede, P.M.B 1036, Owerri, Imo State.;1977.0;Federal Government;Polytechnic
Federal Polytechnic Offa, P.M.B 420, Kwara State.;1992.0;Federal Government;Polytechnic
Federal Polytechnic Oko, Anambra State.;1982.0;Federal Government;Polytechnic
Federal Polytechnic of Oil and Gas Bonny, Rivers State;2014.0;Federal Government;Polytechnic
"Federal Polytechnic Ukana, 
P.M.B 2014
Akwa Ibom State";2014.0;Federal Government;Polytechnic
Hussaini Adamu Federal Polytechnic, P.M.B 5004, Kazaure Jigawa State.;1991.0;Federal Government;Polytechnic
Kaduna Polytechnic, Kaduna.;1956.0;Federal Government;Polytechnic
National Institute of Construction Technology Uromi;2014.0;Federal Government;Polytechnic
Waziri Umaru Federal Polytechnic, P.M.B. 1034, Birnin Kebbi.;1976.0;Federal Government;Polytechnic
Yaba College of Technology, P.M.B. 2011, Yaba, Lagos State.;1947.0;Federal Government;Polytechnic
Federal Polytechnic Ayede, Oyo State;2021.0;Federal Government;Polytechnic
Federal Polytechnic Munguno, Borno State;2021.0;Federal Government;Polytechnic
Federal Polytechnic N’yak, Shendam, Plateau State;2021.0;Federal Government;Polytechnic
Federal Polytechnic Ohodo, Enugu State;2021.0;Federal Government;Polytechnic
Federal Polytechnic Ugep, Cross Rivers State;2021.0;Federal Government;Polytechnic
Federal Polytechnic Wannune, Benue State;2021.0;Federal Government;Polytechnic
Federal Polytechnic Orogun, Delta State;2022.0;Federal Government;Polytechnic
Federal Polytechnic Kabo, Kano State;2022.0;Federal Government;Polytechnic
Federal Polytechnic Umunnoechi, Abia State;2022.0;Federal Government;Polytechnic
Airforce Institute of Technology (AFIT),NAF Base Kaduna;1977.0;Federal Government;Polytechnic
"Petroleum Training Institute Effurun
P.M.B 20, Effurun. Delta State";1972.0;Federal Government;Polytechnic
